trip_jarak,beh_peta_potensi,sosdem_usia,sosdem_penghasilan_pribadi,sosdem_penghasilan_keluarga,sosdem_pekerjaan_selain,beh_ojek_konvensional,loc_jumlah_pasar,loc_jumlah_ofm,loc_jml_b_permukiman,loc_jumlah_taman,trip_jenis_pesanan_Ride,trip_pickup
4.35,3,34,3499999.5,4499999.5,1,0,1,66,1014,0,1,Kebon Pisang
12.36,3,34,3499999.5,4499999.5,1,0,1,16,1328,0,1,Pungkur
3.21,3,34,3499999.5,4499999.5,1,0,0,44,1419,0,1,Lingkar Selatan
2.77,3,34,3499999.5,4499999.5,1,0,0,68,2186,1,0,Hegarmanah
5.92,3,34,3499999.5,4499999.5,1,0,1,32,2232,0,0,Arjuna
5.57,3,34,3499999.5,4499999.5,1,0,0,76,3867,0,1,Sukagalih
6.16,3,34,3499999.5,4499999.5,1,0,0,61,3453,0,1,Sukaraja
2.88,3,34,3499999.5,4499999.5,1,0,0,55,2909,0,1,Sukawarna
14.03,3,34,3499999.5,4499999.5,1,0,0,49,1754,2,1,Cipaganti
6.93,3,34,3499999.5,4499999.5,1,0,0,68,1582,0,1,Mekar Wangi
7.96,3,34,3499999.5,4499999.5,1,0,1,163,829,3,1,Citarum
8.35,3,34,3499999.5,4499999.5,1,0,0,106,9190,0,0,Dago
8.39,3,34,3499999.5,4499999.5,1,0,1,61,4627,0,1,Sarijadi
2.7,3,34,3499999.5,4499999.5,1,0,2,90,1681,3,0,Taman Sari
7.68,3,34,3499999.5,4499999.5,1,0,0,34,2387,0,1,Pajajaran
11.52,3,34,3499999.5,4499999.5,1,0,0,20,901,0,0,Cigondewah Rahayu
11.6,3,34,3499999.5,4499999.5,1,0,0,57,453,4,1,Lebak Siliwangi
3.89,3,34,3499999.5,4499999.5,1,0,0,18,2551,0,1,Cibuntu
3.12,3,34,3499999.5,4499999.5,1,0,1,36,3421,0,1,Suka Asih
5.47,3,34,3499999.5,4499999.5,1,0,0,78,5014,0,0,Cipedes
3.41,3,34,3499999.5,4499999.5,1,0,2,90,1681,3,0,Taman Sari
4.33,3,34,3499999.5,4499999.5,1,0,2,90,1681,3,1,Taman Sari
5.76,3,34,3499999.5,4499999.5,1,0,2,90,1681,3,1,Taman Sari
1.03,3,34,3499999.5,4499999.5,1,0,1,61,4627,0,1,Sarijadi
0.89,3,34,3499999.5,4499999.5,1,0,0,18,3045,0,1,Maleber
5.73,3,34,3499999.5,4499999.5,1,0,0,51,5395,0,1,Babakan
11.19,3,34,3499999.5,4499999.5,1,0,0,106,9190,0,1,Dago
0.72,3,34,3499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
4.41,3,34,3499999.5,4499999.5,1,0,2,90,1681,3,1,Taman Sari
5.19,3,34,3499999.5,4499999.5,1,0,0,61,3453,0,1,Sukaraja
6.99,3,34,3499999.5,4499999.5,1,0,0,28,1516,0,1,Neglasari
2.4,3,34,3499999.5,4499999.5,1,0,0,34,2387,0,1,Pajajaran
4.22,3,34,3499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
5.08,3,34,3499999.5,4499999.5,1,0,0,61,3453,0,1,Sukaraja
4.19,3,34,3499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
1.87,3,34,3499999.5,4499999.5,1,0,0,76,3867,0,1,Sukagalih
14.96,3,34,3499999.5,4499999.5,1,0,0,24,2425,0,1,Sukabungah
4.03,3,34,3499999.5,4499999.5,1,0,2,90,1681,3,1,Taman Sari
3.57,3,34,3499999.5,4499999.5,1,0,2,75,135,2,1,Braga
4.75,3,34,3499999.5,4499999.5,1,0,1,124,3464,0,1,Turangga
4.92,3,34,3499999.5,4499999.5,1,0,0,61,3453,0,1,Sukaraja
3.31,3,34,3499999.5,4499999.5,1,0,0,34,2387,0,1,Pajajaran
9.51,3,34,3499999.5,4499999.5,1,0,1,32,2232,0,1,Arjuna
12.4,3,34,3499999.5,4499999.5,1,0,0,61,3453,0,0,Sukaraja
7.06,3,34,3499999.5,4499999.5,1,0,1,50,630,0,0,Kebon Jeruk
1.66,3,34,3499999.5,4499999.5,1,0,2,24,1975,0,0,Sadang Serang
6.53,3,34,3499999.5,4499999.5,1,0,0,34,2387,0,1,Pajajaran
5.47,3,38,3499999.5,5499999.5,1,0,1,32,2232,0,0,Arjuna
1.07,3,38,3499999.5,5499999.5,1,0,0,42,1225,0,0,Cibaduyut
1.51,3,38,3499999.5,5499999.5,1,0,1,18,542,0,1,Pamoyanan
3.3,3,38,3499999.5,5499999.5,1,0,1,18,542,0,1,Pamoyanan
2.22,3,38,3499999.5,5499999.5,1,0,1,18,542,0,1,Pamoyanan
8.91,3,38,3499999.5,5499999.5,1,0,0,42,1225,0,1,Cibaduyut
4.18,3,38,3499999.5,5499999.5,1,0,1,18,542,0,1,Pamoyanan
5.54,3,38,3499999.5,5499999.5,1,0,0,34,2387,0,0,Pajajaran
5.27,3,38,3499999.5,5499999.5,1,0,1,61,4627,0,1,Sarijadi
3.44,3,38,3499999.5,5499999.5,1,0,1,18,542,0,1,Pamoyanan
