,trip_jarak,trip_pendapatan_bersih,trip_poin_tambahan,beh_peta_potensi,sosdem_usia,sosdem_jk,sosdem_pendidikan_terakhir,sosdem_jumlah_motor,sosdem_jumlah_mobil,sosdem_anggota_rt,sosdem_posisi_rt,sosdem_penghasilan_pribadi,sosdem_penghasilan_keluarga,sosdem_pekerjaan_selain,beh_platform,beh_rata_jam_online,beh_status_kendaraan,beh_lama_driver,beh_ojek_konvensional,loc_jumlah_pasar,loc_jumlah_sd,loc_jumlah_smp,loc_jumlah_sma,loc_jumlah_pt,loc_jumlah_halte,loc_jumlah_stasiun,loc_jumlah_terminal,loc_jumlah_hotel,loc_jumlah_mall,loc_jumlah_ofm,loc_jumlah_pickup,loc_jumlah_dropoff,loc_populasi,loc_jml_b_permukiman,loc_jumlah_taman,loc_jumlah_kantor,loc_avg_duration,trip_lamanya_waktu_pesanan,sosdem_status_nikah_Menikah,trip_jenis_pesanan_Food,trip_jenis_pesanan_Kurir Barang,trip_jenis_pesanan_Ride,trip_jenis_pembayaran_Tunai
0,4.35,8800.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,1,4,3,0,0,0,0,0,5,1,66,625,668,13297,1014,0,6.0,1205.529801324503,19.0,1,0,0,1,0
1,12.36,24800.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,1,4,3,0,0,3,0,1,6,0,16,128,128,7522,1328,0,4.0,1193.483443708609,38.0,1,0,0,1,0
2,3.21,8000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,6,5,0,4,3,0,0,14,0,44,147,191,10254,1419,0,15.0,1157.443708609271,12.0,1,0,0,1,0
3,2.77,13600.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,3,2,0,2,2,0,0,14,0,68,262,400,20196,2186,1,10.0,2028.569536423841,16.0,1,1,0,0,0
4,5.92,16400.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,1,5,4,0,0,0,0,0,6,0,32,245,225,13023,2232,0,2.0,1357.251655629139,17.0,1,0,1,0,0
5,5.57,11200.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,3,1,1,0,2,0,0,30,0,76,283,258,18558,3867,0,7.0,1763.721854304636,16.0,1,0,0,1,0
6,6.16,12400.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,7,5,0,1,1,0,0,7,0,61,397,236,23692,3453,0,4.0,1912.006622516556,19.0,1,0,0,1,0
7,2.88,8000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,5,4,0,1,1,0,0,10,0,55,93,165,14324,2909,0,2.0,1788.28476821192,9.0,1,0,0,1,0
8,14.03,28000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,3,2,2,2,1,0,0,24,0,49,184,256,11681,1754,2,1.0,1497.271523178808,37.0,1,0,0,1,1
9,6.93,14000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,3,2,0,1,0,0,0,0,0,68,63,85,10930,1582,0,1.0,1593.344370860927,22.0,1,0,0,1,0
10,7.96,16000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,1,6,6,20,1,2,0,0,21,1,163,1972,1070,2255,829,3,18.0,1188.013245033113,23.0,1,0,0,1,1
11,8.35,19800.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,8,5,7,3,0,0,2,17,0,106,1064,1118,34749,9190,0,28.0,1700.907284768212,31.0,1,1,0,0,1
12,8.39,16800.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,1,8,3,10,2,0,0,0,4,0,61,156,182,27388,4627,0,4.0,1945.026490066225,24.0,1,0,0,1,1
13,2.7,8800.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,2,6,3,0,5,1,0,0,15,0,90,478,666,22489,1681,3,1.0,1240.668874172185,13.0,1,1,0,0,0
14,7.68,18800.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,7,3,0,1,0,0,0,5,1,34,237,247,26037,2387,0,7.0,1560.980132450331,30.0,1,0,0,1,1
15,11.52,23900.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,3,0,0,0,0,0,0,0,0,20,15,25,9496,901,0,2.0,1829.317880794702,32.0,1,0,1,0,0
16,11.6,28000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,1,0,1,1,5,0,0,7,0,57,633,639,3986,453,4,10.0,1337.774834437086,42.0,1,0,0,1,0
17,3.89,8000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,3,3,0,1,1,0,0,0,0,18,56,61,20439,2551,0,4.0,1516.331125827815,19.0,1,0,0,1,0
18,3.12,8800.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,1,5,0,0,1,2,0,0,6,1,36,109,157,19630,3421,0,4.0,1366.900662251656,12.0,1,0,0,1,0
19,5.47,11200.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,6,0,0,0,2,0,0,3,1,78,144,181,29888,5014,0,6.0,1693.549668874172,28.0,1,0,1,0,0
20,3.41,8000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,2,6,3,0,5,1,0,0,15,0,90,478,666,22489,1681,3,1.0,1240.668874172185,10.0,1,0,1,0,0
21,4.33,8800.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,2,6,3,0,5,1,0,0,15,0,90,478,666,22489,1681,3,1.0,1240.668874172185,19.0,1,0,0,1,0
22,5.76,11600.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,2,6,3,0,5,1,0,0,15,0,90,478,666,22489,1681,3,1.0,1240.668874172185,19.0,1,0,0,1,1
23,1.03,8400.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,1,8,3,10,2,0,0,0,4,0,61,156,182,27388,4627,0,4.0,1945.026490066225,7.0,1,0,0,1,1
24,0.89,8000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,2,0,0,1,1,0,0,0,0,18,50,84,19960,3045,0,2.0,1533.145695364238,12.0,1,0,0,1,0
25,5.73,11600.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,5,4,0,0,6,0,0,0,0,51,110,97,30968,5395,0,2.0,1519.874172185431,31.0,1,0,0,1,0
26,11.19,22000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,8,5,7,3,0,0,2,17,0,106,1064,1118,34749,9190,0,28.0,1700.907284768212,26.0,1,0,0,1,0
27,0.72,8000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,3,1,0,2,4,1,0,24,0,46,380,382,17453,948,0,15.0,1264.397350993378,13.0,1,0,0,1,0
28,4.41,9200.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,2,6,3,0,5,1,0,0,15,0,90,478,666,22489,1681,3,1.0,1240.668874172185,0.0,1,0,0,1,0
29,5.19,10400.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,7,5,0,1,1,0,0,7,0,61,397,236,23692,3453,0,4.0,1912.006622516556,40.0,1,0,0,1,0
30,6.99,14000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,4,4,0,2,1,0,0,8,0,28,143,224,9676,1516,0,6.0,1422.701986754967,25.0,1,0,0,1,1
31,2.4,8000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,7,3,0,1,0,0,0,5,1,34,237,247,26037,2387,0,7.0,1560.980132450331,18.0,1,0,0,1,0
32,4.22,9600.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,3,1,0,2,4,1,0,24,0,46,380,382,17453,948,0,15.0,1264.397350993378,16.0,1,0,0,1,0
33,5.08,10400.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,7,5,0,1,1,0,0,7,0,61,397,236,23692,3453,0,4.0,1912.006622516556,15.0,1,0,0,1,0
34,4.19,8400.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,3,1,0,2,4,1,0,24,0,46,380,382,17453,948,0,15.0,1264.397350993378,20.0,1,0,0,1,0
35,1.87,8000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,3,1,1,0,2,0,0,30,0,76,283,258,18558,3867,0,7.0,1763.721854304636,11.0,1,0,0,1,0
36,14.96,30000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,4,1,1,1,0,0,0,3,0,24,115,146,21708,2425,0,5.0,1503.735099337748,44.0,1,0,0,1,0
37,4.03,8400.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,2,6,3,0,5,1,0,0,15,0,90,478,666,22489,1681,3,1.0,1240.668874172185,11.0,1,0,0,1,0
38,3.57,8000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,2,2,1,0,1,3,0,0,12,1,75,413,436,6124,135,2,12.0,1218.099337748344,14.0,1,0,0,1,0
39,4.75,9600.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,1,5,4,0,4,1,0,0,11,1,124,927,407,15281,3464,0,10.0,1237.185430463576,13.0,1,0,0,1,0
40,4.92,10000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,7,5,0,1,1,0,0,7,0,61,397,236,23692,3453,0,4.0,1912.006622516556,21.0,1,0,0,1,0
41,3.31,8000.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,7,3,0,1,0,0,0,5,1,34,237,247,26037,2387,0,7.0,1560.980132450331,16.0,1,0,0,1,1
42,9.51,19200.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,1,5,4,0,0,0,0,0,6,0,32,245,225,13023,2232,0,2.0,1357.251655629139,33.0,1,0,0,1,1
43,12.4,25700.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,0,7,5,0,1,1,0,0,7,0,61,397,236,23692,3453,0,4.0,1912.006622516556,27.0,1,0,1,0,1
44,7.06,15600.0,150.0,3,34,0,3,1,0.0,4,1,3499999.5,4499999.5,1,0,9,1,4,0,1,4,3,16,0,5,0,0,20,1,50,980,579,13277,630,0,2.0,1241.993377483444,27.0,1,1,0,0,1
