location_code,count
40,1955
39,1265
94,1137
93,1053
5,934
114,918
128,693
95,624
145,610
97,532
41,470
146,445
144,410
84,395
143,386
71,383
83,371
16,341
137,279
86,261
139,259
2,256
68,240
79,239
81,235
65,232
109,232
9,230
82,229
135,212
3,209
96,204
27,197
108,191
70,190
72,182
92,181
104,176
112,176
7,167
15,165
80,164
66,160
52,156
110,156
141,154
111,145
103,145
67,143
47,142
134,140
133,126
125,122
113,121
51,115
136,114
60,114
26,108
130,107
102,104
74,103
54,103
21,103
43,101
58,97
140,94
22,94
18,92
127,92
64,92
138,91
129,90
85,88
63,88
45,86
28,83
42,77
8,76
38,75
14,75
20,73
69,72
73,72
53,72
37,71
115,68
142,67
19,67
24,66
61,64
59,62
44,58
10,57
50,54
32,53
36,53
17,50
55,49
29,48
6,48
132,44
87,42
13,41
107,40
25,39
4,38
131,38
31,37
33,34
1,33
49,32
62,31
126,31
123,30
12,29
105,28
57,27
23,25
46,25
48,24
90,21
99,19
149,18
34,18
11,18
30,17
106,16
119,15
35,15
91,15
124,15
100,14
88,13
116,13
56,13
121,10
147,10
122,9
98,8
75,8
77,7
120,5
150,4
118,4
78,4
148,4
89,4
76,3
151,2
117,2
